Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
Base,0x0x2db7d11429c2d223bdbcf8326151e49114f42e6ecdca2fb82a5d5bad777eed94,Success,0x0000000c,ERC-20: Coinbase Wrapped XRP,,0xee58348059c9ad6ac345be79c399da0c200627ed,Contract,0xa78d02426eaa5b785a607b2fd022f209bb30c6f0,Contract
Base,0x0xcfe4857e7b5d29d21cc7d2a64ddfdc4def1bfcead7c483e9ce8664457a675ed2,Success,Execute,ERC-20: Coinbase Wrapped XRP,,0xc1c11814797f724bb03ae58c2fbc22a5b2ca2fcb,Contract,0x3f042950b75dd841c2002743214f2c0fa1179b8c,Address
Base,0x0xcfe4857e7b5d29d21cc7d2a64ddfdc4def1bfcead7c483e9ce8664457a675ed2,Success,Execute,ERC-20: Coinbase Wrapped XRP,,0xa78d02426eaa5b785a607b2fd022f209bb30c6f0,Contract,0x3f042950b75dd841c2002743214f2c0fa1179b8c,Address
Base,0x0x4c901c84229eace95fc716eb79d20fe93c8f35381e967ffc14d9203d83e26a3c,Success,Increase Liquidity,ERC-20: Coinbase Wrapped XRP,,0xd4f91f224e040527e890c180f3238daade6afc33,Address,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract
Base,0x0x1e9e8bfa073b2007e52760640530c8bb14c3445961a5a07f26f770e4085f6f4a,Success,0x57335dda,ERC-20: Coinbase Wrapped XRP,,0x379c7f95e66572c2bc43b0ed82bdfadf76f6e890,Contract,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract
Base,0x0x0c7200a5a3bcc0bb88568c535d589bf372ae30351b2a595673545003c11f83a0,Success,0x618861cc,ERC-20: Coinbase Wrapped XRP,,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract,0x379c7f95e66572c2bc43b0ed82bdfadf76f6e890,Contract
Base,0x0xbf78ae1808eccbd91c06e4af4e8bd2f375986aab44cda754842949683b81eaf5,Success,0x82f3f865,ERC-20: Coinbase Wrapped XRP,,0xf8ce4d7d99695c41c15626338222145f061bc07f,Contract,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract
Base,0x0xbf78ae1808eccbd91c06e4af4e8bd2f375986aab44cda754842949683b81eaf5,Success,0x82f3f865,ERC-20: Coinbase Wrapped XRP,,0xf129060fa092f31b481dbc5fe08f405e19459d82,Address,0xf8ce4d7d99695c41c15626338222145f061bc07f,Contract
Base,0x0x4588e3ee0897790f0caf8f49135996cbd72ffe75dc78fb9bc24336276a19f790,Success,0x57335dda,ERC-20: Coinbase Wrapped XRP,,0x379c7f95e66572c2bc43b0ed82bdfadf76f6e890,Contract,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract
Base,0x0xae2313c445f149d539abd37c46cf8b293f3ab1083452b860d2030890f640aba4,Success,Locked_6416899205,ERC-20: Coinbase Wrapped XRP,,0xb90fe999be6869af0afc557dccfbe169ea3403d6,Contract,0x01989c93890aed05a63d179b03424997075b6acf,Contract
